year,month,day,day_of_year,tmax,tmin,precip,rained
2021,1,1,1,58,39,,
2021,1,2,2,60,47,,
2021,1,3,3,56,46,,
2021,1,4,4,60,48,,
2021,1,5,5,56,44,,
2021,1,6,6,60,42,,
2021,1,7,7,58,44,,
2021,1,8,8,61,47,,
2021,1,9,9,58,41,,
2021,1,10,10,59,40,,
2021,1,11,11,58,42,,
2021,1,12,12,60,46,,
2021,1,13,13,66,45,,
2021,1,14,14,68,46,,
2021,1,15,15,68,45,,
2021,1,16,16,69,51,,
2021,1,17,17,73,48,,
2021,1,18,18,73,48,,
2021,1,19,19,64,49,,
2021,1,20,20,66,43,,
2021,1,21,21,64,47,,
2021,1,22,22,52,45,,
2021,1,23,23,56,40,,
2021,1,24,24,51,37,,
2021,1,25,25,52,42,,
2021,1,26,26,53,33,,
2021,1,27,27,56,45,,
2021,1,28,28,56,47,,
2021,1,29,29,55,42,,
2021,1,30,30,61,38,,
2021,1,31,31,65,43,,
2021,2,1,32,62,42,,
2021,2,2,33,60,49,,
2021,2,3,34,56,40,,
2021,2,4,35,60,43,,
2021,2,5,36,64,37,,
2021,2,6,37,66,47,,
2021,2,7,38,62,46,,
2021,2,8,39,56,45,,
2021,2,9,40,57,48,,
2021,2,10,41,60,47,,
2021,2,11,42,58,45,,
2021,2,12,43,58,48,,
2021,2,13,44,58,48,,
2021,2,14,45,56,46,,
2021,2,15,46,60,49,,
2021,2,16,47,57,45,,
2021,2,17,48,62,46,,
2021,2,18,49,63,39,,
2021,2,19,50,63,49,,
2021,2,20,51,60,45,,
2021,2,21,52,62,44,,
2021,2,22,53,70,44,,
2021,2,23,54,75,47,,
2021,2,24,55,69,49,,
2021,2,25,56,64,42,,
2021,2,26,57,60,45,,
2021,2,27,58,61,41,,
2021,2,28,59,65,42,,
2021,3,1,60,69,43,,
2021,3,2,61,68,45,,
2021,3,3,62,69,46,,
2021,3,4,63,66,44,,
2021,3,5,64,70,40,,
2021,3,6,65,59,46,,
2021,3,7,66,61,44,,
2021,3,8,67,61,42,,
2021,3,9,68,58,44,,
2021,3,10,69,53,44,,
2021,3,11,70,56,37,,
2021,3,12,71,63,38,,
2021,3,13,72,57,45,,
2021,3,14,73,60,43,,
2021,3,15,74,52,42,,
2021,3,16,75,60,36,,
2021,3,17,76,60,38,,
2021,3,18,77,59,48,,
2021,3,19,78,60,47,,
2021,3,20,79,57,42,,
2021,3,21,80,62,44,,
2021,3,22,81,61,40,,
2021,3,23,82,66,46,,
2021,3,24,83,67,44,,
2021,3,25,84,61,48,,
2021,3,26,85,69,46,,
2021,3,27,86,74,43,,
2021,3,28,87,75,51,,
2021,3,29,88,69,44,,
2021,3,30,89,80,49,,
2021,3,31,90,86,49,,
2021,4,1,91,88,50,,
2021,4,2,92,71,51,,
2021,4,3,93,66,46,,
2021,4,4,94,63,49,,
2021,4,5,95,65,49,,
2021,4,6,96,68,46,,
2021,4,7,97,64,46,,
2021,4,8,98,70,47,,
2021,4,9,99,68,48,,
2021,4,10,100,72,46,,
2021,4,11,101,74,44,,
2021,4,12,102,74,45,,
2021,4,13,103,69,47,,
2021,4,14,104,71,47,,
2021,4,15,105,69,46,,
2021,4,16,106,70,45,,
2021,4,17,107,74,46,,
2021,4,18,108,85,47,,
2021,4,19,109,74,47,,
2021,4,20,110,67,50,,
2021,4,21,111,77,51,,
2021,4,22,112,75,49,,
2021,4,23,113,75,50,,
2021,4,24,114,72,50,,
2021,4,25,115,60,52,,
2021,4,26,116,63,45,,
2021,4,27,117,72,43,,
2021,4,28,118,82,50,,
2021,4,29,119,78,55,,
2021,4,30,120,75,50,,
2021,5,1,121,73,53,,
2021,5,2,122,77,49,,
2021,5,3,123,84,50,,
2021,5,4,124,86,56,,
2021,5,5,125,88,54,,
2021,5,6,126,73,50,,
2021,5,7,127,75,50,,
2021,5,8,128,86,52,,
2021,5,9,129,83,54,,
2021,5,10,130,87,53,,
2021,5,11,131,89,58,,
2021,5,12,132,80,54,,
2021,5,13,133,76,51,,
2021,5,14,134,78,52,,
2021,5,15,135,75,52,,
2021,5,16,136,77,54,,
2021,5,17,137,71,53,,
2021,5,18,138,76,52,,
2021,5,19,139,67,50,,
2021,5,20,140,67,48,,
2021,5,21,141,70,48,,
2021,5,22,142,75,48,,
2021,5,23,143,70,51,,
2021,5,24,144,78,51,,
2021,5,25,145,74,55,,
2021,5,26,146,78,52,,
2021,5,27,147,75,50,,
2021,5,28,148,78,54,,
2021,5,29,149,74,52,,
2021,5,30,150,84,52,,
2021,5,31,151,91,57,,
2021,6,1,152,87,60,,
2021,6,2,153,76,56,,
2021,6,3,154,83,56,,
2021,6,4,155,80,61,,
2021,6,5,156,84,55,,
2021,6,6,157,84,56,,
2021,6,7,158,73,54,,
2021,6,8,159,70,53,,
2021,6,9,160,70,51,,
2021,6,10,161,72,50,,
2021,6,11,162,76,51,,
2021,6,12,163,82,60,,
2021,6,13,164,80,61,,
2021,6,14,165,78,61,,
2021,6,15,166,82,55,,
2021,6,16,167,91,57,,
2021,6,17,168,98,61,,
2021,6,18,169,99,66,,
2021,6,19,170,94,65,,
2021,6,20,171,87,60,,
2021,6,21,172,85,61,,
2021,6,22,173,82,61,,
2021,6,23,174,82,61,,
2021,6,24,175,76,59,,
2021,6,25,176,79,55,,
2021,6,26,177,77,58,,
2021,6,27,178,78,57,,
2021,6,28,179,77,58,,
2021,6,29,180,82,59,,
2021,6,30,181,83,61,,
2021,7,1,182,84,60,,
2021,7,2,183,78,58,,
2021,7,3,184,80,56,,
2021,7,4,185,83,58,,
2021,7,5,186,80,57,,
2021,7,6,187,79,56,,
2021,7,7,188,77,55,,
2021,7,8,189,89,52,,
2021,7,9,190,91,65,,
2021,7,10,191,91,57,,
2021,7,11,192,84,58,,
2021,7,12,193,79,56,,
2021,7,13,194,85,57,,
2021,7,14,195,88,57,,
2021,7,15,196,77,57,,
2021,7,16,197,83,55,,
2021,7,17,198,86,58,,
2021,7,18,199,89,60,,
2021,7,19,200,85,62,,
